stock_id,Item Name,Weight,Batch_Id,Expiry_Date,In_Qty,Out_Qty,Stock,Stock_box
1,BFI Kentang Goreng Shoestring ,200g,11/23/2023,6/1/2024,4,4,0,0
2,Akumo Ayam,250g,10/3/2023,6/1/2024,3,3,0,0
3,Akumo Ayam,500g,10/2/2023,6/1/2024,2,2,0,0
4,Akumo Ayam,250g,10/23/2023,6/1/2024,3,3,0,0
5,Akumo Ayam,250g,11/16/2023,6/1/2024,5,5,0,0
6,Akumo Ayam ,500g,10/23/2023,6/1/2024,1,1,0,0
7,Akumo Ayam ,250g,11/13/2023,6/1/2024,4,4,0,0
8,Ardena Fish Roll ,250g,10/5/2023,6/1/2024,2,2,0,0
9,BAKSO AYAM SP ,100g,11/23/2023,6/1/2024,4,4,0,0
10,Bakso Kumis,700g,10/2/2023,6/1/2024,1,1,0,0
11,Bakso Tomyam Ikan Mix ,500g,11/3/2023,6/1/2024,1,1,0,0
12,Bakso Tomyam Ikan Mix ,500g,11/27/2023,6/1/2024,1,1,0,0
13,Bakso Tomyam Ikan Mix ,500g,10/4/2023,6/1/2024,1,1,0,0
14,Bakso Warisan AB,700g,10/3/2023,6/1/2024,2,2,0,0
15,Bakso Warisan AB,700g,10/5/2023,6/1/2024,3,3,0,0
16,Bakso Warisan AB,700g,10/9/2023,6/1/2024,1,1,0,0
17,Bakso Warisan AB,700g,10/11/2023,6/1/2024,1,1,0,0
18,Bakso Warisan AB,700g,10/13/2023,6/1/2024,2,2,0,0
19,Bakso Warisan AB,700g,10/30/2023,6/1/2024,1,1,0,0
20,Bakso Warisan AB,700g,11/13/2023,6/1/2024,2,2,0,0
21,Bakso Warisan AB,700g,11/3/2023,6/1/2024,3,3,0,0
22,Bakso Warisan AB,700g,11/27/2023,6/1/2024,2,2,0,0
23,Bakso Warisan AB,700g,12/1/2023,11/14/2024,2,2,0,0
24,Bakso Warisan AB ,700g,10/3/2023,6/1/2024,1,1,0,0
25,Bakso Warisan AB ,700g,10/4/2023,6/1/2024,2,1.99999401,5.99E-06,0
26,Bakso Warisan AB ,700g,12/20/2023,12/31/2024,2,2,0,0
27,Bakso Warisan AB ,700g,12/29/2023,3/26/2024,10,6,4,4
28,Bakso Warisan AB Urat ,700g,10/9/2023,6/1/2024,1,1,0,0
29,Bakso Warisan AB Urat ,700g,10/13/2023,6/1/2024,1,1,0,0
30,Bakso Warisan AB Urat ,700g,10/18/2023,6/1/2024,1,1,0,0
31,Bakso Warisan AB Urat ,700g,10/30/2023,6/1/2024,8,8,0,0
32,Bakso Warisan AB Urat ,700g,11/13/2023,6/1/2024,2,2,0,0
33,Bakso Warisan AB Urat ,700g,11/3/2023,6/1/2024,3,3,0,0
34,Bakso Warisan AB Urat ,700g,11/27/2023,6/1/2024,2,2,0,0
35,Bakso Warisan AB Urat ,700g,12/1/2023,11/14/2024,3,3,0,0
36,Bakso Warisan AB Urat ,700g,12/29/2023,3/26/2024,20,18,2,2
37,Bakso Warisan AB Urat ,700g,12/5/2023,12/31/2024,10,10,0,0
38,Bakso Warisan AB Urat ,700g,12/12/2023,12/31/2024,4,4,0,0
39,Bakso Warisan AB Urat ,700g,12/20/2023,12/31/2024,6,6,0,0
40,Bakso Warisan AB Urat ,700g,12/29/2023,3/17/2024,20,1,19,19
41,Bakso Warisan Bakar ,350g,12/29/2023,3/16/2024,5,5,0,0
42,Bamboe Tom Yam ,60g,12/29/2023,2/20/2025,12,12,0,0
43,Beef Coctail ,190g,12/14/2023,12/31/2024,1,1,0,0
44,Beef Slice teriyaki premium ,500g,10/4/2023,6/1/2024,1,1,0,0
45,Beef Slice teriyaki premium ,500g,12/12/2023,12/31/2024,4,4,0,0
46,Belfood Ayam,500g,10/2/2023,6/1/2024,2,2,0,0
47,BF Nugget Ceria ,170g,11/23/2023,6/1/2024,12,12,0,0
48,BF Nugget Ceria ,170g,12/14/2023,12/31/2024,2,2,0,0
49,BF Nugget Ceria ,170g,12/27/2023,12/17/2024,10,3,7,7
50,BF Nugget Ceria ,170g,1/4/2024,12/31/2024,5,1,4,4
51,Cedea Bakso Ikan ,500g,10/11/2023,6/1/2024,1,1,0,0
52,Cedea Chikuwa Mini,250g,1/11/2024,12/31/2024,1,0,1,1
53,Cedea Chikuwa Mini,250g,1/5/2024,11/14/2024,1,1,0,0
54,Cedea Crab Stick,250g,10/3/2023,6/1/2024,1,1,0,0
55,Cedea Crab Stick ,250g,10/12/2023,6/1/2024,1,1,0,0
56,Cedea Crab Stick ,250g,12/18/2023,12/31/2024,2,2,0,0
57,Cedea Fish Dumpling Cheese,200g,10/3/2023,6/1/2024,2,2,0,0
58,Cedea Fish Dumpling Cheese,500g,10/3/2023,6/1/2024,1,1,0,0
59,Cedea Fish Dumpling Cheese,500g,10/5/2023,6/1/2024,2,2,0,0
60,Cedea Fish Dumpling Cheese,200g,10/18/2023,6/1/2024,1,1,0,0
61,Cedea Fish Dumpling Cheese,200g,10/30/2023,6/1/2024,2,2,0,0
62,Cedea Fish Dumpling Cheese,200g,12/1/2023,11/14/2024,1,1,0,0
63,Cedea Fish Dumpling Cheese,200g,1/2/2024,6/1/2024,1,1,0,0
64,Cedea Fish Dumpling Cheese ,200g,10/4/2023,6/1/2024,1,1,0,0
65,Cedea Fish Dumpling Cheese ,200g,10/12/2023,6/1/2024,1,1,0,0
66,Cedea Fish Dumpling Cheese ,200g,11/13/2023,6/1/2024,3,3,0,0
67,Cedea Fish Dumpling Cheese ,200g,12/18/2023,12/31/2024,2,2,0,0
68,Cedea Fish Dumpling Chicken,200g,1/11/2024,12/31/2024,2,0,2,2
69,Cedea Fish Dumpling Chicken ,200g,1/2/2024,6/1/2024,1,1,0,0
70,Cedea Fish Dumpling Chicken ,200g,12/1/2023,11/14/2024,1,1,0,0
71,Cedea Fish Roll,500g,10/3/2023,6/1/2024,1,1,0,0
72,Cedea Fish Roll,500g,10/5/2023,6/1/2024,1,1,0,0
73,Cedea Fish Roll,1Kg,1/10/2024,12/31/2024,2,0,2,2
74,Cedea Fish Roll,500g,1/8/2024,12/31/2024,1,1,0,0
75,Cedea Fish Roll,250g,1/5/2024,11/14/2024,1,1,0,0
76,Cedea Ikan Olahan Flower Twister,500g,1/5/2024,11/14/2024,1,0,1,1
77,Cedea Steamboat Dashi ,300g,10/5/2023,6/1/2024,1,1,0,0
78,Champ Beef Sausage,375g,10/2/2023,6/1/2024,1,1,0,0
79,Champ Chicken Nugget ,250g,11/27/2023,6/1/2024,2,2,0,0
80,Champ Chicken Sausage,375g,1/11/2024,12/31/2024,2,0,2,2
81,Champ Chicken Sausage ,375g,10/13/2023,6/1/2024,1,1,0,0
82,Champ Chicken Sausage ,375g,10/18/2023,6/1/2024,3,3,0,0
83,Champ Chicken Sausage ,375g,11/3/2023,6/1/2024,2,2,0,0
84,Champ Chicken Sausage ,375g,11/16/2023,6/1/2024,2,2,0,0
85,Champ Crunchy Ayam,225g,10/2/2023,6/1/2024,2,2,0,0
